,X,year,age,mean,v
1,1,1988,3,385860.4946,13085271506
2,2,1988,4,305974.3009,6733491991
3,3,1988,5,8055307.798,2.64834E+12
4,4,1988,6,82542.10592,632064043.1
5,5,1988,7,33632.63477,350111105.3
6,6,1988,8,11094.74696,111777958
7,7,1988,9,38305.43127,574765713.6
8,8,1988,10,22615.24174,181067652.6
9,9,1988,11,42903.39242,651772703
10,21,1989,1,203.9046485,38969.78782
11,31,1989,2,159876.2692,9443323272
12,41,1989,3,16350.56019,59255314.1
13,51,1989,4,338342.6557,14740577331
14,61,1989,5,90691.64666,869048293.4
15,71,1989,6,4037902.493,8.97259E+11
16,81,1989,7,101381.9217,1406924487
17,91,1989,8,12492.72979,70174228.99
18,10,1989,9,4566.009918,20020177.8
19,11,1989,10,56758.53396,546327105
20,12,1989,12,4287.29137,14740462.95
21,13,1989,13,42803.95156,300081912.4
22,14,1989,15,4950.439599,26110022.59
23,15,1989,16,4389.251809,19937973.67
24,16,1989,NA,8549.287728,97075561.01
25,22,1994,2,38476.29962,665209739.1
26,32,1994,3,102935.3725,2312563426
27,42,1994,4,48138.02632,354065618.2
28,52,1994,5,846686.5489,26118960714
29,62,1994,6,481182.8686,9927963837
30,72,1994,7,62687.54729,318682311.4
31,82,1994,8,12514.77825,44324596.01
32,92,1994,9,143874.7497,1322931528
33,101,1994,10,47952.59628,232542360.3
34,111,1994,11,1835643.934,83124228021
35,121,1994,12,4168.052016,28645041.54
36,131,1994,13,3307.889661,9860722.729
37,17,1994,NA,39551.32496,1341971142
38,18,1995,1,626882.6721,7.56153E+11
39,23,1995,2,3774.902094,13729319.79
40,33,1995,3,441893.4266,16061325282
41,43,1995,4,4630522.14,7.88561E+11
42,53,1995,5,3163125.721,1.23748E+11
43,63,1995,6,1935727.499,48797327320
44,73,1995,7,294335.4706,4576105241
45,83,1995,8,19487.61974,150463864.1
46,93,1995,10,109347.7418,1226742837
47,102,1995,11,56923.99956,446220750.4
48,112,1995,12,2318220.193,1.09715E+11
49,24,1996,2,117115.8156,3660991469
50,34,1996,3,195437.6753,11027281623
51,44,1996,4,1991681.271,2.98499E+11
52,54,1996,5,7972944.66,2.5102E+12
53,64,1996,6,2345031.413,2.22512E+11
54,74,1996,7,894849.2694,52841946193
55,84,1996,8,306996.8784,11090848817
56,94,1996,10,368.2598009,100321.3399
57,103,1996,11,136512.1612,3141815557
58,113,1996,13,1797619.666,1.93326E+11
59,19,1996,NA,2961.225294,34560512.04
60,25,1998,2,55189.54411,1996947911
61,35,1998,3,311601.0142,62420796114
62,45,1998,4,984368.0045,69644926806
63,55,1998,5,3061579.817,3.78444E+11
64,65,1998,6,13237378.24,1.95603E+13
65,75,1998,7,8178255.081,3.78714E+12
66,85,1998,8,1872096.721,1.72416E+11
67,95,1998,9,595841.6216,17247308666
68,104,1998,10,164103.576,1438894694
69,114,1998,11,41210.0174,1362460337
70,122,1998,13,334071.3328,11146230714
71,132,1998,15,1359304.431,2.00933E+11
72,141,1998,17,7156.654587,47463086.18
73,110,1998,NA,21523.81558,3584983111
74,26,1999,2,118272.8113,3313480572
75,36,1999,3,1566893.845,2.71565E+11
76,46,1999,4,374055.6781,7230666938
77,56,1999,5,1363953.254,76049379872
78,66,1999,6,2674673.283,2.71278E+11
79,76,1999,7,9392659.322,5.78891E+12
80,86,1999,8,6995625.902,2.07859E+12
81,96,1999,9,1688545.312,1.73111E+11
82,105,1999,10,529472.0791,22982108316
83,115,1999,11,134642.468,2660825199
84,123,1999,12,182.1605893,26382.98447
85,133,1999,14,365049.5449,23083308258
86,142,1999,16,379768.6317,17207041959
87,116,1999,NA,48364.33321,4830734970
88,117,2000,2,1423353.331,8.04145E+11
89,27,2000,3,673218.4509,1.77774E+11
90,37,2000,4,2661752.318,1.2365E+12
91,47,2000,5,115535.944,2866881136
92,57,2000,6,490145.1951,19396765644
93,67,2000,7,1160585.008,64490449121
94,77,2000,8,4332510.011,8.81761E+11
95,87,2000,9,2881694.09,3.98459E+11
96,97,2000,10,494126.8242,10149963304
97,106,2000,11,49612.08665,392904637
98,118,2000,12,1858.106026,4615285.937
99,124,2000,14,8445.26737,54016935.41
100,134,2000,15,101276.5061,1676133865
101,143,2000,17,130719.4728,3539377783
102,119,2005,2,40468.50413,1653385424
103,28,2005,3,232096.9142,6952255438
104,38,2005,4,649806.0669,20035373613
105,48,2005,5,2131325.236,2.73403E+11
106,58,2005,6,6001841.208,1.66937E+12
107,68,2005,7,8417966.406,2.95991E+12
108,78,2005,8,623747.0427,38438865037
109,88,2005,9,508873.4961,22912204206
110,98,2005,10,155733.7366,5722500452
111,107,2005,11,90457.68442,1904766194
112,1110,2005,12,597678.663,38800816652
113,125,2005,13,1210540.75,2.38047E+11
114,135,2005,14,610664.1052,46517971302
115,144,2005,20,8281.681435,114267787.7
116,29,2006,2,28850.62722,101752306.5
117,39,2006,3,97889.04243,881692316.9
118,49,2006,4,6231610.34,4.37887E+11
119,59,2006,5,542438.1016,24361548809
120,69,2006,6,894920.9733,18850224470
121,79,2006,7,3339698.622,3.12575E+11
122,89,2006,8,3254780.825,2.22874E+11
123,99,2006,9,109369.1059,1521620027
124,108,2006,10,88347.28767,1506777485
125,1111,2006,11,25012.30394,1228318576
126,126,2006,12,92248.49309,1232025611
127,136,2006,13,57780.97643,585935151.9
128,145,2006,14,246465.7084,8030026898
129,151,2006,15,57745.1027,598104877.8
130,120,2006,NA,6950.198131,196877831.4
131,210,2007,2,31923.42698,874670951.9
132,310,2007,3,359870.2533,1.01049E+11
133,410,2007,4,1596594.039,1.12739E+11
134,510,2007,5,12403779.24,5.15573E+12
135,610,2007,6,834335.2332,1.02412E+11
136,710,2007,7,651707.1051,28098105642
137,810,2007,8,3001632.581,4.30331E+11
138,910,2007,9,3229442.483,4.11384E+11
139,109,2007,10,144455.2872,3930634147
140,1112,2007,11,225237.1218,5930032794
141,127,2007,12,40659.57124,622367899.3
142,137,2007,13,197510.2304,7290449178
143,146,2007,14,282779.777,10595034067
144,152,2007,15,426988.6446,22977675970
145,161,2007,16,48367.92534,794182563.2
146,128,2007,NA,12519.6219,111401057.5
147,211,2008,2,12782.06188,156786718.8
148,311,2008,3,46483.95854,2601504341
149,411,2008,4,2380548.376,1.18907E+12
150,511,2008,5,2685932.572,4.11687E+11
151,611,2008,6,9077514.225,5.36963E+12
152,711,2008,7,521073.9695,44360596389
153,811,2008,8,482934.3627,26359569913
154,911,2008,9,1582795.328,1.70847E+11
155,1010,2008,10,1572260.61,2.54741E+11
156,1113,2008,11,158578.469,4955756234
157,129,2008,12,106718.873,4598644677
158,138,2008,13,50598.10176,1775203398
159,147,2008,14,118226.4059,2921199151
160,153,2008,15,76280.80267,2992285007
161,162,2008,16,69092.3717,2188436222
162,130,2008,NA,53326.78994,7177332392
163,212,2015,2,211625.0763,11820987240
164,312,2015,3,538469.3406,63485856713
165,412,2015,4,2885898.413,1.3424E+12
166,512,2015,5,730743.2514,26827200988
167,612,2015,6,3211251.167,2.54805E+11
168,712,2015,7,378054.8019,9281700699
169,812,2015,8,675985.5871,41547323940
170,912,2015,9,2746005.173,2.31476E+11
171,1011,2015,10,781427.5307,30201897283
172,1114,2015,11,7208840.392,1.12974E+12
173,1210,2015,12,365947.0273,13127635678
174,139,2015,13,1647530.209,92152851123
175,148,2015,14,51877.81602,1266788309
