,year,age,mean,v
1,2018,1,7328992.877,2.41194E+13
2,2018,2,17393095.7,3.75177E+13
3,2018,3,841086.8984,3.41633E+11
4,2018,4,9149.813091,87553573.55
5,2018,NA,0,0
6,2017,1,14522411.97,2.7245E+13
7,2017,2,3113220.823,4.25162E+12
8,2017,NA,0,0
9,2016,1,1825558.53,1.51651E+12
10,2016,2,5668935.41,5.92893E+12
11,2016,3,1526022.54,7.42011E+11
12,2016,4,99488.71,8338880327
13,2016,5,37009.74,1117341599
14,2015,1,345073.5235,89750199969
15,2015,2,11783029.12,1.48018E+13
16,2015,3,1148294.192,3.05131E+11
17,2015,4,199973.763,30502991922
18,2015,NA,0,0
19,2014,1,4238747.048,6.95979E+12
20,2014,2,3065119.418,8.15852E+11
21,2014,3,1721480.092,3.01308E+11
22,2014,4,124875.4368,5293091094
23,2014,5,40943.79481,710348060
24,2014,NA,0,0
25,2013,1,107090.8401,4957282234
26,2013,2,2150730.081,5.75458E+11
27,2013,3,214181.6802,19829128937
28,2013,4,71393.89338,2203236549
29,2013,NA,0,0
30,2012,1,787367.5087,1.64091E+11
31,2012,2,26104.47272,1479049326
32,2012,NA,0,0
33,2011,1,1166024.904,5.42366E+11
34,2011,2,3874974.389,1.70153E+12
35,2011,3,39847.93407,457210531.4
36,2011,NA,0,0
37,2010,1,5195520.94,4.94448E+12
38,2010,2,1383286.015,5.52077E+11
39,2010,NA,0,0
40,2009,1,288651.3434,30494509274
41,2009,2,276538.9948,58298603526
42,2009,3,243747.983,34449253573
43,2009,4,60955.33745,4317518011
44,2009,NA,0,0
210,2019,1,113217.7269,10081641939
310,2019,2,2418990.197,1.83352E+12
45,2019,3,17502241.15,2.06424E+13
51,2019,4,45414.82322,1817484101
110,2019,NA,898.4783095,9839838.993
44,2021,NA,13189.5945,270970301.4
210,2021,1,21163.89238,297097986.3
310,2021,2,1740.853825,2133862.041
45,2021,3,86477.29113,1032829323
51,2021,4,2274.59211,1768257.298
110,2021,5,218.8430084,29177.80379
