,year,age,mean,v
2,2008,2,1188607.245,2.86884E+11
3,2008,3,644497.9898,42297991347
4,2008,4,10967937.7,5.65461E+12
5,2008,5,8214112.298,2.05634E+12
6,2008,6,14635326.52,6.56546E+12
7,2008,7,1527963.947,1.41612E+11
8,2008,8,2225949.011,3.0113E+11
9,2008,9,4872830.733,1.1208E+12
10,2008,10,2790416.329,4.50259E+11
11,2008,11,512223.6865,21344620986
12,2008,12,145994.8981,3744359308
13,2008,13,171699.7301,5179471443
14,2008,14,241161.2878,12740820414
15,2008,15,282573.6151,16607299139
16,2008,16,164386.4261,7657737504
17,2008,17,67973.28554,1681794659
1,2008,NA,50624.28476,3372232561
21,2009,2,140626.4582,8349638001
31,2009,3,1835784.298,6.2046E+11
41,2009,4,2271024.169,1.26969E+12
51,2009,5,12342299.68,6.52078E+12
61,2009,6,8607200.849,1.84842E+12
71,2009,7,9589415.251,2.0167E+12
81,2009,8,2021024.783,5.2941E+11
91,2009,9,1414896.175,1.31911E+11
101,2009,10,2531347.377,2.88638E+11
111,2009,11,1302275.593,96765720290
121,2009,12,224181.9177,4531167789
131,2009,13,195468.8363,4587444408
141,2009,14,98442.42827,5088939037
151,2009,15,68747.84032,621828904.4
161,2009,16,138113.9668,4057618548
171,2009,17,25135.3376,142581061.2
18,2009,18,12896.80543,182244657.2
19,2009,NA,107412.8002,4127624471
22,2010,1,221453.4478,50348994606
32,2010,2,117368.8255,5151950427
42,2010,3,568879.9157,80705855717
52,2010,4,2278712.158,4.36396E+11
62,2010,5,1849330.53,2.17433E+11
72,2010,6,8359594.817,1.63674E+12
82,2010,7,5910295.255,7.19956E+11
92,2010,8,5686814.016,7.40203E+11
102,2010,9,944972.1894,85407179881
112,2010,10,891070.7732,40169575555
122,2010,11,1025658.503,99880922711
132,2010,12,553767.4516,38170290205
142,2010,13,86611.14371,1717898651
152,2010,14,43127.77563,609980048.8
162,2010,15,9822.187818,104193986.4
172,2010,16,58282.03741,1243750385
110,2010,NA,175447.1901,13355477367
23,2011,2,1133187.305,5.04283E+11
33,2011,3,968837.4548,1.62204E+11
43,2011,4,1654145.58,1.51361E+11
