"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.0956302640874456 0.105999238999401 0.0260366855884843 0.183743381537821 0.262502447275097 0.38511342947141 0.253739004240475 0.306901886400727 0.232431282274716 1
"2" 0.34613857112736 0.101796721068483 0.175275667836121 0.035358549691263 0.167996344513228 0.38511342947141 0.567631030631155 0.214642393878316 1 0.214642393878316
"3" 1 1 1 1 1 1 1 1 1 1
"4" 1 1 1 1 1 1 1 1 1 1
"5" 1 1 1 1 1 1 1 1 1 1
"6" 1 1 1 1 1 1 1 1 1 1
"7" 0.168678894746106 0.226571810575008 0.0688832148437379 0.0875462309544243 0.204613156849169 0.373922204853488 0.145265654847833 0.224727704155469 0.0494140710627559 0.446069320992671
"8" 0.0902106956872769 0.0329287023498385 0.0387873377909032 0.0480698439009398 0.107181200623339 0.318228251777286 1 0.164717830550031 0.214642393878316 0.0445999932907049
"9" 0.130674946243565 0.0478694834071394 0.0261151550541196 0.0446082952451082 0.0679654472597851 0.106881598532872 1 1 0.148725002524428 0.0503245799086457
"10" 1 1 1 1 1 1 1 1 1 1
"11" 0.105854521675617 0.0648014041533199 0.0400534516122359 0.0211713378625415 0.0258709046285867 0.04924067922181 0.0802981584828817 0.138020118325956 0.236639265327277 0.0507121797479803
"12" 0.0534591640522276 0.098101690706776 0.0564029111955691 0.0420272337299467 0.0243588834241746 0.0276164195046265 0.0515311740266937 0.0854785552729407 0.151509587344905 0.0736109019987783
"13" 0.0751792722544653 0.0425071733815561 0.162851076350786 0.0880113247806086 0.0605848520006226 0.0342247497167354 0.0409229441306609 0.0867888494536083 0.222933850042409 0.118135078823383
"14" 1 1 1 1 1 1 1 1 1 1
"15" 1 1 1 1 1 1 1 1 1 1
"16" 1 1 1 1 1 1 1 1 1 1
"17" 1 1 1 1 1 1 1 1 1 1
"18" 0.117927533057063 0.0766155602450312 0.0463595746698182 0.0296604634054943 0.0256043572437999 0.0791157718927809 0.0860527643963415 0.140546851609232 0.174499284642675 0.0446249144054091
"19" 0.176063841823595 0.0294306076053472 0.0829785691626009 0.0677340202303981 0.0380208096982638 0.0382741196090193 0.162244467815148 0.179340834939252 0.318228251777286 0.0897061851080003
"20" 0.0983267842042384 0.0521852930233297 0.0215134126431187 0.0700626486664972 0.0769138818773662 0.0402059637272811 0.0388188546176339 0.14653106657197 0.120059586955356 0.0642413739021771
"21" 0.226571810575008 0.0427648416782509 0.0410108290218809 0.0248934550462698 0.0847093441116606 0.0884847142884101 0.0529257602344504 0.0529111924212135 0.138726482736386 0.0936409520866482
"22" 1 1 1 1 1 1 1 1 1 1
"23" 1 1 1 1 1 1 1 1 1 1
"24" 1 1 1 1 1 1 1 1 1 1
"25" 1 1 1 1 1 1 1 1 1 1
"26" 1 1 1 1 1 1 1 1 1 1
"27" 1 1 1 1 1 1 1 1 1 1
"28" 0.0839626042620802 0.0414597518279529 0.0728452449726962 0.0384971746911134 0.09604526433335 0.0751329155881983 0.0417169825888615 0.0712337548050977 0.0272492081097385 0.0447166850526654
"29" 0.12759329505091 0.118135078823383 0.0801830201116262 0.09855360320925 0.0464446589418975 0.117516064423707 0.0852664762009544 0.0403603998845686 0.0770644916446211 0.0316750415980337
"30" 0.162244467815148 0.062200357269557 0.0776251974468988 0.0677998765887256 0.092144582976914 0.0568582153109176 0.132160690420164 0.125244551955416 0.0473550605109603 0.0366692531553952
"31" 0.144442122235299 0.0508265628746772 0.0413492439414365 0.0894574129121198 0.0689877379088551 0.077728602533079 0.0617346979442213 0.0907247439552859 0.0979897840501513 0.0377441057635273
"32" 0.0977672371967847 0.105567048507077 0.0659114558644399 0.03614102921986 0.0724310846334601 0.0678328841721494 0.0766650147976565 0.0627543064637953 0.0731822730150159 0.0332938591642182
"33" 0.234502989939414 0.0373527445763815 0.0815411479398713 0.0590999436329125 0.0381442913038243 0.0841640959919345 0.079336550178792 0.0986676668473318 0.0771654420613673 0.048555613654648
"34" 0.161053721715951 0.108097075367833 0.0234214163384197 0.0733099946266716 0.0730975327876327 0.0483377303145073 0.0922357927832317 0.0901259564562191 0.105282157253684 0.0478799603046823
